Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
GBILD86/87,-,"1,021.00","1,021.00","1,021.00","1,025.10","1,025.10",1.00,"1,021.00","1,021.00","1,025.10",1,4.10,0.00,0.40,0.00,0.00,"1,015.35",980.92,"1,083.00",902.00
GBIME,-,215.60,217.00,213.50,216.86,215.82,"96,828.00",213.37,217.00,"20,897,104.00",383,3.49,3.50,1.64,1.64,0.48,233.35,229.91,302.00,170.00
GBLBS,-,785.00,805.00,785.00,799.19,796.89,"5,709.00",785.38,796.40,"4,549,460.20",52,13.81,20.00,1.76,2.55,0.29,804.47,812.64,987.00,600.00
GCIL,-,511.20,533.40,511.20,531.49,526.38,"59,906.00",521.55,533.30,"31,533,405.80",449,9.94,22.20,1.91,4.34,0.96,506.03,513.27,668.00,460.00
GFCL,-,663.00,667.00,650.00,660.00,658.14,"14,004.00",653.67,663.00,"9,216,646.30",152,6.33,17.00,0.97,2.62,0.28,849.66,843.28,"1,353.00",438.00
GHL,-,266.00,279.80,266.00,276.81,274.84,"295,985.00",269.04,278.00,"81,347,954.40",813,7.77,13.80,2.89,5.19,0.71,229.33,218.57,318.00,141.00
GIBF1,-,9.70,9.89,9.70,9.89,9.75,"81,600.00",9.79,9.89,"795,565.00",12,0.10,0.19,1.02,1.96,1.42,9.82,9.69,10.72,7.92
GILB,-,"1,217.10","1,260.00","1,210.30","1,250.43","1,237.81","3,892.00","1,212.43","1,257.00","4,817,572.00",49,38.00,49.70,3.13,4.11,1.01,"1,266.27","1,312.51","1,815.00",906.70
GLBSL,-,"2,680.00","2,748.00","2,578.00","2,683.11","2,677.74","1,986.00","2,652.95","2,748.00","5,317,992.10",58,30.16,170.00,1.14,6.59,0.20,"2,342.75","2,178.37","3,486.00","1,293.00"
GLH,-,231.00,241.00,231.00,239.02,238.71,"23,433.00",234.92,240.00,"5,593,711.80",157,4.10,10.00,1.75,4.33,0.13,252.41,253.16,336.00,196.00
GMFBS,-,"1,585.00","1,595.00","1,533.80","1,567.16","1,573.72","1,203.00","1,564.95","1,565.30","1,893,181.60",19,2.21,61.20,0.14,3.99,-0.42,"1,719.90","1,721.88","2,327.00",971.00
GMFIL,-,494.60,509.90,485.10,500.27,500.01,"9,752.00",485.17,500.00,"4,876,118.30",81,15.10,24.80,3.11,5.11,0.05,572.44,567.85,759.00,348.00
GMLI,-,"2,280.00","2,312.00","2,151.00","2,286.16","2,265.11","101,487.00","2,284.09","2,285.00","229,879,706.50","1,542",2.07,161.00,0.09,7.48,0.92,0.00,0.00,"2,410.00",301.00
GRDBL,-,"1,345.00","1,391.20","1,345.00","1,376.60","1,369.97","18,411.00","1,371.35","1,373.00","25,222,605.90",200,5.25,46.20,0.38,3.43,0.48,"1,098.59",928.08,"2,001.40",358.00
