Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
MDB,21.06,586.00,586.00,575.00,575.00,575.00,0.00,0.00,581.47,170.00,597.88,"98,850.00",3,-22.88,11.00,-3.83,1.91,-1.13,620.02,643.32,843.50,557.00
MEHL,23.87,403.00,403.00,390.00,390.00,390.00,0.00,0.00,396.34,320.00,410.35,"126,830.00",8,-20.35,13.00,-4.96,3.33,-1.63,468.70,494.74,696.00,344.20
MEN,16.92,602.10,602.10,555.50,581.00,581.00,0.00,0.00,582.88,"7,035.00",614.37,"4,100,594.20",49,-33.37,46.60,-5.43,8.39,-0.32,603.12,610.72,758.00,552.40
MFIL,17.23,655.00,655.00,620.10,620.50,620.50,0.00,0.00,626.29,"3,452.00",668.05,"2,161,948.00",21,-47.55,34.90,-7.12,5.63,-0.93,625.47,634.28,834.00,560.00
MHL,24.12,479.70,479.70,451.60,451.60,451.60,0.00,0.00,457.50,705.00,479.70,"322,534.00",10,-28.10,28.10,-5.86,6.22,-1.31,612.23,696.84,"1,088.00",451.60
MHNL,23.05,245.00,245.00,235.30,235.30,235.30,0.00,0.00,239.24,305.00,245.13,"72,969.00",4,-9.83,9.70,-4.01,4.12,-1.68,267.25,268.19,316.00,234.00
MKCL,22.80,"1,467.10","1,467.10","1,435.70","1,435.70","1,435.70",0.00,0.00,"1,447.84",100.00,"1,497.00","144,784.00",4,-61.30,31.40,-4.09,2.19,-0.85,"1,566.00","1,577.42","1,900.00","1,230.10"
MKHC,25.35,378.50,378.50,371.00,371.00,371.00,0.00,0.00,378.35,"1,020.00",386.21,"385,920.00",3,-15.21,7.50,-3.94,2.02,-1.98,454.44,489.57,627.00,307.40
MKJC,19.33,587.40,587.40,542.50,553.00,553.00,0.00,0.00,559.45,"5,571.00",599.29,"3,116,701.00",30,-46.29,44.90,-7.72,8.28,-1.17,541.22,549.60,632.00,402.00
MLBBL,25.34,"1,439.70","1,449.00","1,418.00","1,449.00","1,449.00",0.00,0.00,"1,440.35",125.00,"1,469.00","180,044.00",5,-20.00,31.00,-1.36,2.19,0.60,"1,524.03","1,579.01","2,019.00","1,360.00"
